date_key,full_date,year,quarter,month,month_name,year_month,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20160309,2016-03-09,2016,1,3,March,2016-Mar,10,9,3,Wednesday,false
20160310,2016-03-10,2016,1,3,March,2016-Mar,10,10,4,Thursday,false
20160311,2016-03-11,2016,1,3,March,2016-Mar,10,11,5,Friday,false
20160312,2016-03-12,2016,1,3,March,2016-Mar,10,12,6,Saturday,true
20160313,2016-03-13,2016,1,3,March,2016-Mar,11,13,7,Sunday,true
20160314,2016-03-14,2016,1,3,March,2016-Mar,11,14,1,Monday,false
20160315,2016-03-15,2016,1,3,March,2016-Mar,11,15,2,Tuesday,false
20160316,2016-03-16,2016,1,3,March,2016-Mar,11,16,3,Wednesday,false
20160317,2016-03-17,2016,1,3,March,2016-Mar,11,17,4,Thursday,false
20160318,2016-03-18,2016,1,3,March,2016-Mar,11,18,5,Friday,false
20160319,2016-03-19,2016,1,3,March,2016-Mar,11,19,6,Saturday,true
20160320,2016-03-20,2016,1,3,March,2016-Mar,12,20,7,Sunday,true
20160321,2016-03-21,2016,1,3,March,2016-Mar,12,21,1,Monday,false
20160322,2016-03-22,2016,1,3,March,2016-Mar,12,22,2,Tuesday,false
20160323,2016-03-23,2016,1,3,March,2016-Mar,12,23,3,Wednesday,false
20160324,2016-03-24,2016,1,3,March,2016-Mar,12,24,4,Thursday,false
20160325,2016-03-25,2016,1,3,March,2016-Mar,12,25,5,Friday,false
20160326,2016-03-26,2016,1,3,March,2016-Mar,12,26,6,Saturday,true
20160327,2016-03-27,2016,1,3,March,2016-Mar,13,27,7,Sunday,true
20160328,2016-03-28,2016,1,3,March,2016-Mar,13,28,1,Monday,false
20160329,2016-03-29,2016,1,3,March,2016-Mar,13,29,2,Tuesday,false
20160330,2016-03-30,2016,1,3,March,2016-Mar,13,30,3,Wednesday,false
20160331,2016-03-31,2016,1,3,March,2016-Mar,13,31,4,Thursday,false
20160401,2016-04-01,2016,2,4,April,2016-Apr,13,1,5,Friday,false
20160402,2016-04-02,2016,2,4,April,2016-Apr,13,2,6,Saturday,true
20160403,2016-04-03,2016,2,4,April,2016-Apr,14,3,7,Sunday,true
20160404,2016-04-04,2016,2,4,April,2016-Apr,14,4,1,Monday,false
20160405,2016-04-05,2016,2,4,April,2016-Apr,14,5,2,Tuesday,false
20160406,2016-04-06,2016,2,4,April,2016-Apr,14,6,3,Wednesday,false
20160407,2016-04-07,2016,2,4,April,2016-Apr,14,7,4,Thursday,false
20160408,2016-04-08,2016,2,4,April,2016-Apr,14,8,5,Friday,false
20160409,2016-04-09,2016,2,4,April,2016-Apr,14,9,6,Saturday,true
